url;rating;score_author;domain_ending;score_url_domain_ending;errors_grammar_spelling;score_errors;questions_text_per_sentence;score_tonality_questions_text;questions_title;score_tonality_questions_title;exclamations_text_per_sentence;score_tonality_exclamations_text;exclamations_title;score_tonality_exclamations_title;all_caps_text;score_tonality_all_caps_text;all_caps_title;score_tonality_all_caps_title;readability_coleman_liau;score_readability;word_count_text;score_ls_word_count_text;word_count_title;score_ls_word_count_title;sentence_count;score_ls_sentence_count;ttr;score_ls_type_token_ratio;word_length_text;score_ls_word_length_text;word_length_title;score_ls_word_length_title;profanity;score_vocabulary_profanity;anger_intensity;anticipation_intensity;disgust_intensity;fear_intensity;sadness_intensity;joy_intensity;surprise_intensity;trust_intensity;score_vocabulary_emotional_words;clickbait;score_clickbait;links_count;score_links_external;sentiment_text_vader;positivity_text_vader;negativity_text_vader;score_sentiment_polarity_text;sentiment_title_vader;positivity_title_vader;negativity_title_vader;score_sentiment_polarity_title;subjectivity;score_sentiment_subjectivity;credibility_score
https://web.archive.org/web/20180503000456/http://ewao.com/2017/08/16/johns-hopkins-researcher-releases-shocking-report-on-flu-vaccines/;2.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0084586466;0.5770676692;0.0937500000;0.7083333333;0.0000000000;1.0000000000;0.0000000000;1.0000000000;0.0000000000;1.0000000000;0.0000000000;1.0000000000;0.0000000000;1.0000000000;11.7803197725;0.9450799431;1055.0000000000;1.0000000000;9.0000000000;1.0000000000;32.0000000000;0.7000000000;0.4559241706;0.3898104265;4.9639810427;0.9519747235;6.3333333333;1.0000000000;0.0000000000;1.0000000000;0.0074962406;0.0073994361;0.0067706767;0.0236306391;0.0116738722;0.0094511278;0.0031569549;0.0203486842;0.6376794258;1.0000000000;1.0000000000;3.0000000000;1.0000000000;-0.9942000000;0.0920000000;0.1310000000;0.0000000000;-0.6486000000;0.0000000000;0.4310000000;0.0000000000;0.5032105880;0.6559647066;0.6676399263
https://www.independent.co.uk/news/world/asia/india-floods-bangladesh-nepal-deaths-millions-homeless-latest-news-updates-a7919006.html;3.0000000000;1.0000000000;0.0000000000;0.0000000000;0.0034423408;0.8278829604;0.0000000000;1.0000000000;0.0000000000;1.0000000000;0.0000000000;1.0000000000;0.0000000000;1.0000000000;0.0000000000;1.0000000000;0.0000000000;1.0000000000;11.6111875189;0.9027968797;569.0000000000;0.5380000000;12.0000000000;0.8000000000;22.0000000000;0.0000000000;0.4973637961;0.4934094903;4.9859402460;0.9812536614;5.3333333333;0.8333333333;0.0000000000;1.0000000000;0.0157969019;0.0049053356;0.0091187608;0.0298433735;0.0278795181;0.0046764200;0.0113975904;0.0107074010;0.1940854326;1.0000000000;1.0000000000;3.0000000000;1.0000000000;-0.9991000000;0.0220000000;0.2050000000;0.0000000000;-0.7096000000;0.0000000000;0.3710000000;0.0000000000;0.3884135472;1.0000000000;0.5336547547
https://www.usatoday.com/story/news/nation-now/2017/06/16/coconut-oil-isnt-healthy-its-never-been-healthy/402719001/;3.0000000000;1.0000000000;0.0000000000;0.0000000000;0.0042826552;0.7858672377;0.0000000000;1.0000000000;0.0000000000;1.0000000000;0.0000000000;1.0000000000;0.0000000000;1.0000000000;0.0043572985;0.1285403050;0.0000000000;1.0000000000;11.1905961931;0.7976490483;459.0000000000;0.3180000000;8.0000000000;1.0000000000;26.0000000000;0.1000000000;0.5599128540;0.6497821351;4.9607843137;0.9477124183;5.2500000000;0.7500000000;0.0000000000;1.0000000000;0.0079122056;0.0110128480;0.0280385439;0.0159935760;0.0216680942;0.0114646681;0.0013875803;0.0285096360;0.0000000000;0.0000000000;0.0000000000;8.0000000000;1.0000000000;0.8590000000;0.0700000000;0.0550000000;0.9060000000;-0.5448000000;0.0000000000;0.4290000000;0.0000000000;0.4916216216;0.6945945946;0.4387529844
https://web.archive.org/web/20180401082218/http://mysticalraven.com/health/5110/how-your-finger-shape-determines-your-personality-and-your-health-risks;1.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0018975332;0.9051233397;0.0571428571;0.9523809524;0.0000000000;1.0000000000;0.0285714286;0.4761904762;0.0000000000;1.0000000000;0.0000000000;1.0000000000;0.0000000000;1.0000000000;6.7428412203;0.0000000000;516.0000000000;0.4320000000;11.0000000000;0.9000000000;35.0000000000;1.0000000000;0.4689922481;0.4224806202;4.3158914729;0.0878552972;5.5454545455;1.0000000000;0.0000000000;1.0000000000;0.0068975332;0.0112599620;0.0039582543;0.0051764706;0.0067533207;0.0241840607;0.0056925996;0.0273510436;0.6132137312;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.9984000000;0.2290000000;0.0840000000;0.9989333333;-0.2732000000;0.0000000000;0.1740000000;0.4200000000;0.5302191070;0.5659363099;0.4775068606
http://inshapetoday.com/now-official-fda-announced-vaccines-causing-autism/;1.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0347322721;0.0000000000;0.1481481481;0.3456790123;0.0000000000;1.0000000000;0.0740740741;0.0000000000;0.0000000000;1.0000000000;0.0058479532;0.0000000000;0.0000000000;1.0000000000;15.0380185207;1.0000000000;684.0000000000;0.7680000000;7.0000000000;1.0000000000;27.0000000000;0.2000000000;0.5687134503;0.6717836257;5.5833333333;1.0000000000;5.7142857143;1.0000000000;0.0000000000;1.0000000000;0.0060665702;0.0052807525;0.0060622287;0.0088002894;0.0056975398;0.0095369030;0.0009160637;0.0128856729;1.0000000000;0.0000000000;0.0000000000;3.0000000000;1.0000000000;-0.9882000000;0.0250000000;0.0750000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;1.0000000000;0.4755862193;0.7480459355;0.4641776430
https://foodbabe.com/2016/11/15/monsanto/;2.0000000000;1.0000000000;0.0000000000;0.0000000000;0.0061776062;0.6911196911;0.1232876712;0.5114155251;0.0000000000;1.0000000000;0.1643835616;0.0000000000;1.0000000000;0.0000000000;0.0117004680;0.0000000000;0.0000000000;1.0000000000;9.9046361451;0.4761590363;1282.0000000000;1.0000000000;13.0000000000;0.7000000000;73.0000000000;1.0000000000;0.4375975039;0.3439937598;4.7714508580;0.6952678107;5.0000000000;0.5000000000;0.0000000000;1.0000000000;0.0105111969;0.0086555985;0.0143181467;0.0137722008;0.0123235521;0.0121799228;0.0009953668;0.0183250965;0.6167076167;0.0000000000;0.0000000000;26.0000000000;1.0000000000;-0.9513000000;0.0630000000;0.0690000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;1.0000000000;0.4436093718;0.8546354274;0.4604539391
https://web.archive.org/web/20171230224727/http://nowcheckthis.com/2017/03/23/confirmed-e-cigarettes-cause-a-horrible-incurable-disease-called-popcorn-lung-worse-than-lung-cancer/;1.0000000000;1.0000000000;0.0000000000;0.0000000000;0.0091533181;0.5423340961;0.0000000000;1.0000000000;0.0000000000;1.0000000000;0.0000000000;1.0000000000;1.0000000000;0.0000000000;0.0000000000;1.0000000000;-10.0000000000;1.0000000000;11.7800620559;0.9450155140;423.0000000000;0.2460000000;14.0000000000;0.6000000000;21.0000000000;0.0000000000;0.5933806147;0.7334515366;5.0212765957;1.0000000000;6.2142857143;1.0000000000;0.0000000000;1.0000000000;0.0121784897;0.0037894737;0.0159336384;0.0194073227;0.0156681922;0.0065766590;0.0039336384;0.0180572082;0.5355523195;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.6387000000;0.0680000000;0.0520000000;0.7591333333;-0.9060000000;0.0000000000;0.5070000000;0.0000000000;0.5044884463;0.6517051789;0.4217314106
http://www.bbc.com/earth/story/20170504-there-are-diseases-hidden-in-ice-and-they-are-waking-up?ocid=fbert;3.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0277777778;0.0000000000;0.0000000000;1.0000000000;0.0000000000;1.0000000000;0.0000000000;1.0000000000;0.0000000000;1.0000000000;0.0000000000;1.0000000000;0.0000000000;1.0000000000;12.2038963529;1.0000000000;34.0000000000;0.0000000000;2.0000000000;1.0000000000;2.0000000000;0.0000000000;0.8529411765;1.0000000000;5.0588235294;1.0000000000;4.0000000000;0.0000000000;0.0000000000;1.0000000000;0.0000000000;0.0281944444;0.0000000000;0.0000000000;0.0000000000;0.0640000000;0.0240833333;0.0325833333;0.0000000000;1.0000000000;1.0000000000;0.0000000000;0.0000000000;0.8225000000;0.2170000000;0.0000000000;0.8816666667;0.0000000000;0.0000000000;0.0000000000;1.0000000000;0.5400000000;0.5333333333;0.4605815886
https://en.newsner.com/family/mom-s-warning-is-spreading-like-wildfire-scented-candles-are-harmful-your-baby-s-health/;1.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0085287846;0.5735607676;0.0000000000;1.0000000000;0.0000000000;1.0000000000;0.0769230769;0.0000000000;0.0000000000;1.0000000000;0.0000000000;1.0000000000;0.0000000000;1.0000000000;9.4241173519;0.3560293380;455.0000000000;0.3100000000;14.0000000000;0.6000000000;26.0000000000;0.1000000000;0.5428571429;0.6071428571;4.7054945055;0.6073260073;5.5000000000;1.0000000000;0.0000000000;1.0000000000;0.0021599147;0.0105948827;0.0105394456;0.0116119403;0.0101407249;0.0198486141;0.0050170576;0.0116567164;0.7896491568;0.0000000000;0.0000000000;1.0000000000;0.3333333333;0.9455000000;0.1050000000;0.0760000000;0.9636666667;0.0258000000;0.1400000000;0.1340000000;0.5533333333;0.5091572221;0.6361425930;0.4477861870
https://web.archive.org/web/20180227035101/http://www.wfaa.com/news/health/resorts-in-mexico-suspected-of-drugging-tourists/458170922;4.0000000000;1.0000000000;0.0000000000;0.0000000000;0.0045781557;0.7710922171;0.0481283422;1.0000000000;0.0000000000;1.0000000000;0.0000000000;1.0000000000;0.0000000000;1.0000000000;0.0013110456;0.7377908882;0.0000000000;1.0000000000;9.3085496083;0.3271374021;3051.0000000000;1.0000000000;7.0000000000;1.0000000000;187.0000000000;1.0000000000;0.3526712553;0.1316781383;4.7109144543;0.6145526057;6.0000000000;1.0000000000;0.0000000000;1.0000000000;0.0050568999;0.0091141269;0.0029643558;0.0151455199;0.0131419228;0.0125111184;0.0032442773;0.0188989536;0.8167786432;1.0000000000;1.0000000000;3.0000000000;1.0000000000;-0.9993000000;0.0640000000;0.1040000000;0.0000000000;-0.2263000000;0.0000000000;0.2410000000;0.1966666667;0.4451664327;0.8494452244;0.6847873037
